"Kerncijfers wijken en buurten 2016"
"Onderwerpen";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Oppervlakte";"Oppervlakte";"Oppervlakte";"Postcode";"Postcode";"Stedelijkheid";"Stedelijkheid"
"AMC";"Amsterdam";"Buurt";"BU03639205";"3";"45";"35";"5";"0";"5";"25";"15";"0";"40";"5";"5";"0";"10";"30";"5";"5";"10";"0";"10";".";".";".";".";"10";"10";"5";"5";"1.2";"59";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"80";"77";"4";".";".";"3";"1150"
"Hoge Dijk";"Amsterdam";"Buurt";"BU03639206";"3";"95";"55";"40";"10";"60";"10";"15";"10";"80";"15";"5";"5";"10";"45";"10";"5";"15";"5";"10";".";".";".";".";"15";"10";"5";"10";"2.3";"65";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"161";"146";"14";".";".";"5";"362"
"Bijlmer Centrum (D,F,H)";"Amsterdam";"Wijk";"WK036393";"3";"23910";"11985";"11925";"4310";"4675";"7425";"5965";"1535";"17065";"3470";"3005";"385";"2400";"17390";"620";"1455";"7605";"425";"7290";".";".";".";".";"13200";"7825";"1640";"3745";"1.8";"7898";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"316";"303";"13";".";".";"1";"3068"
"Venserpolder West";"Amsterdam";"Buurt";"BU03639300";"3";"5250";"2740";"2510";"845";"575";"1840";"1475";"520";"3530";"730";"845";"155";"520";"3750";"145";"300";"1720";"120";"1470";".";".";".";".";"2965";"1760";"410";"805";"1.7";"10544";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"50";"50";"0";".";".";"1";"2855"
"Venserpolder Oost";"Amsterdam";"Buurt";"BU03639301";"3";"3370";"1770";"1595";"515";"470";"1215";"960";"210";"2320";"525";"475";"60";"335";"2425";"115";"155";"1140";"80";"940";".";".";".";".";"1930";"1135";"285";"520";"1.7";"10471";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"32";"32";"0";".";".";"1";"3163"
"D-buurt";"Amsterdam";"Buurt";"BU03639302";"3";"1990";"900";"1090";"115";"1380";"360";"115";"30";"1870";"60";"65";"5";"385";"935";"25";"180";"315";"20";"395";".";".";".";".";"1685";"1480";"110";"105";"1.2";"7463";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"28";"27";"1";".";".";"1";"3831"
"F-buurt";"Amsterdam";"Buurt";"BU03639303";"3";"3835";"1850";"1980";"905";"685";"1195";"920";"140";"2675";"790";"340";"40";"270";"3020";"105";"200";"1650";"90";"975";".";".";".";".";"1660";"710";"220";"740";"2.3";"17324";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"23";"22";"1";".";".";"1";"4212"
"Amsterdamse Poort";"Amsterdam";"Buurt";"BU03639304";"3";"1415";"740";"675";"200";"240";"415";"410";"150";"1030";"125";"250";"20";"225";"1045";"30";"110";"520";"10";"375";".";".";".";".";"920";"665";"95";"165";"1.5";"3317";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"43";"43";"0";".";".";"1";"2997"
"Hoptille";"Amsterdam";"Buurt";"BU03639305";"3";"1355";"670";"685";"330";"210";"460";"310";"55";"985";"205";"165";"15";"120";"1050";"45";"120";"400";"20";"470";".";".";".";".";"680";"350";"75";"265";"2.0";"6672";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"20";"20";"0";".";".";"2";"2117"
"Rechte H-buurt";"Amsterdam";"Buurt";"BU03639306";"3";"3130";"1515";"1610";"660";"500";"870";"880";"230";"2185";"425";"480";"50";"220";"2560";"50";"180";"845";"45";"1445";".";".";".";".";"1575";"845";"160";"580";"2.0";"15962";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"20";"20";"0";".";".";"1";"2648"
"Hakfort/Huigenbos";"Amsterdam";"Buurt";"BU03639307";"3";"2615";"1320";"1295";"595";"485";"840";"605";"95";"1945";"345";"305";"30";"240";"1930";"100";"180";"610";"35";"1015";".";".";".";".";"1365";"750";"210";"410";"1.9";"9835";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"29";"27";"3";".";".";"2";"2068"
"Huntum";"Amsterdam";"Buurt";"BU03639308";"3";"200";"100";"95";"30";"35";"40";"55";"50";"100";"90";"15";"10";"35";"85";"0";"5";"50";"0";"35";".";".";".";".";"95";"35";"35";"30";"2.1";"1833";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"11";"1";".";".";"2";"2470"
"Vogeltjeswei";"Amsterdam";"Buurt";"BU03639309";"3";"730";"360";"370";"125";"105";"190";"250";"65";"445";"190";"90";"15";"50";"590";"5";"35";"365";"10";"180";".";".";".";".";"300";"105";"60";"145";"2.4";"10571";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"7";"0";".";".";"1";"4204"
"Nelson Mandelapark";"Amsterdam";"Buurt";"BU03639310";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"51";"45";"6";".";".";"1";"2855"
"Bijlmer Oost (E,G,K)";"Amsterdam";"Wijk";"WK036394";"3";"27190";"13570";"13620";"4890";"3990";"7725";"7540";"3050";"17360";"5340";"3860";"645";"2605";"18745";"560";"1535";"8765";"265";"7625";".";".";".";".";"14310";"7780";"2095";"4440";"1.9";"7343";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"408";"370";"37";".";".";"1";"3095"
"E-buurt";"Amsterdam";"Buurt";"BU03639400";"3";"1545";"765";"775";"370";"410";"445";"310";"15";"1095";"340";"110";"5";"180";"1025";"40";"65";"565";"55";"300";".";".";".";".";"635";"310";"55";"280";"2.4";"5050";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"32";"31";"1";".";".";"1";"3801"
"G-buurt West";"Amsterdam";"Buurt";"BU03639401";"3";"3725";"1855";"1865";"600";"570";"1155";"1130";"275";"2395";"810";"470";"60";"345";"2865";"60";"220";"1645";"30";"910";".";".";".";".";"1795";"825";"295";"685";"2.1";"9204";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"43";"40";"2";".";".";"1";"3535"
"Bijlmermuseum Noord";"Amsterdam";"Buurt";"BU03639402";"3";"2275";"1055";"1220";"390";"315";"535";"710";"325";"1455";"330";"440";"60";"185";"1780";"45";"155";"585";"5";"995";".";".";".";".";"1295";"765";"155";"380";"1.8";"16081";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"14";"2";".";".";"1";"3632"
"Kortvoort";"Amsterdam";"Buurt";"BU03639403";"3";"2600";"1230";"1370";"390";"335";"750";"690";"435";"1680";"355";"450";"125";"210";"1870";"60";"245";"960";"15";"595";".";".";".";".";"1600";"1045";"165";"400";"1.6";"12346";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"22";"21";"1";".";".";"1";"3538"
"Kelbergen";"Amsterdam";"Buurt";"BU03639404";"3";"945";"475";"470";"130";"170";"190";"300";"155";"535";"260";"120";"35";"105";"570";"10";"35";"335";"10";"180";".";".";".";".";"435";"185";"85";"170";"2.2";"4623";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"22";"20";"1";".";".";"1";"2700"
"K-buurt Midden";"Amsterdam";"Buurt";"BU03639405";"3";"2080";"1090";"990";"460";"255";"715";"530";"135";"1450";"300";"325";"20";"170";"1615";"80";"90";"535";"15";"895";".";".";".";".";"1125";"635";"150";"350";"1.8";"13001";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"16";"16";"0";".";".";"1";"2837"
"K-buurt Zuidoost";"Amsterdam";"Buurt";"BU03639406";"3";"930";"455";"475";"240";"130";"375";"165";"25";"620";"225";"75";"15";"80";"715";"20";"75";"305";"20";"295";".";".";".";".";"385";"155";"55";"180";"2.4";"5174";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"20";"18";"2";".";".";"2";"2152"
"K-buurt Zuidwest";"Amsterdam";"Buurt";"BU03639407";"3";"1460";"700";"760";"375";"220";"460";"330";"80";"970";"345";"135";"25";"80";"1165";"55";"80";"650";"30";"355";".";".";".";".";"590";"210";"85";"300";"2.5";"9464";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"15";"1";".";".";"1";"2782"
"Grunder/Koningshoef";"Amsterdam";"Buurt";"BU03639408";"3";"1730";"810";"915";"415";"240";"580";"445";"60";"1155";"385";"185";"15";"125";"1370";"50";"95";"815";"30";"385";".";".";".";".";"745";"300";"105";"350";"2.3";"14400";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"13";"12";"1";".";".";"1";"3263"
"G-buurt Oost";"Amsterdam";"Buurt";"BU03639409";"3";"3150";"1700";"1445";"285";"365";"740";"900";"870";"1605";"970";"425";"160";"555";"995";"25";"70";"525";"25";"355";".";".";".";".";"1940";"1180";"465";"305";"1.6";"3638";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"97";"87";"10";".";".";"2";"2301"
"Kantershof";"Amsterdam";"Buurt";"BU03639410";"3";"2160";"1110";"1050";"305";"250";"455";"725";"435";"1120";"550";"405";"100";"275";"1170";"20";"95";"605";"15";"445";".";".";".";".";"1200";"720";"195";"290";"1.8";"4375";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"60";"49";"11";".";".";"2";"1968"
"Gooisekant";"Amsterdam";"Buurt";"BU03639411";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"15";"14";"2";".";".";".";"."
"G-buurt Noord";"Amsterdam";"Buurt";"BU03639412";"3";"1845";"980";"860";"385";"215";"590";"580";"80";"1345";"190";"310";"10";"80";"1600";"45";"150";"640";"10";"760";".";".";".";".";"1065";"665";"100";"305";"1.7";"23156";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"8";"8";"0";".";".";"1";"3508"
"Bijlmermuseum Zuid";"Amsterdam";"Buurt";"BU03639413";"3";"2715";"1320";"1395";"545";"525";"745";"735";"170";"1955";"305";"435";"30";"230";"2015";"60";"165";"620";"15";"1160";".";".";".";".";"1470";"810";"195";"470";"1.8";"11298";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"24";"2";".";".";"1";"3704"
"Nellestein";"Amsterdam";"Wijk";"WK036395";"3";"3010";"1550";"1455";"380";"260";"915";"830";"625";"1755";"695";"400";"170";"540";"930";"20";"75";"415";"25";"400";".";".";".";".";"1760";"1020";"400";"350";"1.6";"1376";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"295";"219";"76";".";".";"2";"1918"
"L-buurt";"Amsterdam";"Buurt";"BU03639500";"3";"2930";"1515";"1415";"370";"245";"905";"805";"610";"1720";"670";"385";"165";"535";"920";"20";"75";"410";"25";"395";".";".";".";".";"1730";"1010";"390";"335";"1.6";"4245";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"76";"69";"7";".";".";"2";"1958"
"Gaasperpark";"Amsterdam";"Buurt";"BU03639501";"3";"35";"15";"15";"5";"10";"5";"15";"5";"20";"10";"10";"0";"5";"5";"0";"0";"5";"0";"0";".";".";".";".";"10";"5";"5";"10";"2.5";"49";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"85";"72";"13";".";".";"4";"922"
"Gaasperplas";"Amsterdam";"Buurt";"BU03639502";"3";"40";"15";"20";"5";"5";"10";"15";"10";"25";"15";"5";"5";"5";"5";"0";"0";"0";"0";"5";".";".";".";".";"15";"5";"5";"10";"2.3";"54";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"134";"78";"56";".";".";"5";"352"
"Holendrecht/Reigersbos";"Amsterdam";"Wijk";"WK036396";"3";"18280";"8655";"9625";"3360";"2435";"4755";"5130";"2610";"11190";"4010";"2450";"640";"1570";"11320";"390";"945";"6040";"145";"3805";".";".";".";".";"9070";"4385";"1510";"3190";"2.0";"7043";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"271";"260";"12";".";".";"1";"2506"
"Holendrecht West";"Amsterdam";"Buurt";"BU03639600";"3";"2935";"1325";"1605";"715";"425";"675";"685";"440";"1920";"400";"485";"135";"155";"2140";"75";"200";"1155";"20";"695";".";".";".";".";"1475";"780";"140";"565";"2.0";"8379";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"35";"35";"0";".";".";"2";"2213"
"Reigersbos Noord";"Amsterdam";"Buurt";"BU03639601";"3";"4375";"1970";"2400";"985";"675";"1110";"1150";"455";"2940";"645";"680";"115";"245";"3325";"110";"345";"1615";"55";"1210";".";".";".";".";"2020";"920";"225";"885";"2.2";"11842";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"37";"37";"0";".";".";"1";"2570"
"Holendrecht Oost";"Amsterdam";"Buurt";"BU03639602";"3";"2465";"1225";"1240";"300";"290";"530";"780";"570";"1110";"1010";"235";"115";"285";"1035";"30";"90";"635";"15";"265";".";".";".";".";"1135";"390";"365";"390";"2.2";"3936";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"67";"63";"4";".";".";"1";"2627"
"Gaasperdam Noord";"Amsterdam";"Buurt";"BU03639603";"3";"2050";"1015";"1035";"355";"250";"665";"625";"160";"1415";"355";"260";"30";"195";"1310";"55";"75";"700";"20";"460";".";".";".";".";"1070";"595";"155";"330";"1.8";"8599";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"25";"24";"1";".";".";"1";"2964"
"Gaasperdam Zuid";"Amsterdam";"Buurt";"BU03639604";"3";"1520";"720";"795";"240";"200";"470";"380";"240";"995";"240";"215";"80";"170";"870";"25";"70";"445";"5";"330";".";".";".";".";"900";"550";"140";"215";"1.7";"8290";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"19";"18";"1";".";".";"1";"2928"
"Reigersbos Midden";"Amsterdam";"Buurt";"BU03639605";"3";"2415";"1170";"1245";"395";"320";"660";"685";"360";"1465";"555";"310";"95";"215";"1455";"65";"105";"810";"25";"455";".";".";".";".";"1265";"660";"200";"410";"1.9";"9831";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"25";"25";"1";".";".";"2";"2280"
"Reigersbos Zuid";"Amsterdam";"Buurt";"BU03639606";"3";"2515";"1220";"1290";"375";"275";"650";"840";"385";"1350";"815";"275";"85";"310";"1190";"35";"65";"685";"10";"400";".";".";".";".";"1195";"500";"300";"405";"2.1";"4328";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"63";"58";"5";".";".";"2";"2117"
"Gein";"Amsterdam";"Wijk";"WK036397";"3";"11545";"5675";"5865";"1860";"1470";"3105";"3820";"1295";"6630";"3225";"1405";"300";"1235";"5970";"185";"450";"3050";"60";"2225";".";".";".";".";"5515";"2380";"1095";"2050";"2.1";"6297";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"192";"183";"9";".";".";"2";"2076"
